,Index,GEOID,Seed1,Seed2,Seed3
188,1928,1131002,4,31,30
189,1935,1131009,4,31,30
190,1937,1131011,4,2,30
191,1960,1131038,4,31,30
192,1961,1131039,4,31,30
193,1966,1131044,4,31,30
194,1967,1131045,4,2,30
195,1968,1131046,4,2,30
196,1969,1131047,4,2,30
197,1970,1131048,4,2,30
198,1971,1131049,4,2,30
199,1973,1131051,4,27,30
200,1974,1131052,4,2,30
201,1975,1131054,4,2,30
202,1976,1131055,4,2,30
203,1977,1131056,4,2,27
204,1978,1131057,4,2,27
205,1979,1131058,4,2,30
206,1980,1131059,4,2,30
207,1981,1131060,4,27,30
208,1982,1131061,4,2,27
209,1990,1131068,4,2,27
210,1998,1131075B,4,27,30
211,2000,1131077,4,2,30
212,2011,1131087B,4,27,30
213,5096,2130002,4,28,11
214,5097,2130003,4,28,11
215,5098,2130004,4,28,11
216,5099,213001A,4,28,11
217,5100,213001M,4,28,11
218,5101,213001T,4,28,35
219,5102,213002E,4,28,11
220,5103,213003B,4,28,11
221,5104,213003C,4,28,28
222,5105,213003M,4,28,11
223,5106,213003N,4,28,11
224,5107,213004A,4,28,11
225,2036,1131110,4,30,30
226,5108,213004W,4,28,11
227,5109,21301CR,4,28,11
228,5111,21301TC,4,28,35
229,5112,21303WS,4,28,28
230,5113,21304BV,4,28,28
231,5114,21304CC,4,28,28
232,5115,21304MS,4,28,11
233,5110,21301MN,4,28,35
234,5117,21304SE,4,28,11
235,5118,2132GBN,4,28,11
236,5119,2132GBS,4,28,35
237,22,30001,10,8,4
238,23,30002,10,8,4
239,24,30003,10,8,4
240,25,30004,10,8,4
241,8225,4510106,10,8,5
242,8226,4510107,10,8,5
243,8227,4510108,10,8,5
244,8228,4510112,10,23,5
245,8229,4510114,10,8,5
246,8230,4510124,10,8,5
247,8231,4510137,10,23,5
248,8232,4510144,10,23,5
249,8233,4510146,10,8,5
250,8234,4510213,10,23,5
251,8235,4510215,10,23,5
252,8236,4510225,10,8,5
253,8237,4510228,10,8,5
254,8238,4510230,10,23,5
255,8239,4510241,10,23,5
256,8240,4510304,10,8,5
257,8241,4510305,10,8,5
258,8242,4510306,10,8,5
259,8243,4510308,10,8,5
260,8244,4510319,10,8,5
261,8245,4510327,10,8,5
262,8246,4510348,10,8,5
263,8247,4510351,10,8,5
264,8248,4510358,10,8,5
265,8249,4510401,10,8,5
266,8250,4510402,10,8,5
267,8251,4510420,10,8,5
268,8252,4510421,10,8,5
269,8253,4510422,10,8,5
270,8254,4510423,10,8,5
271,8255,4510424,10,8,5
272,8256,4510434,10,8,5
273,8257,4510435,10,8,5
274,8258,4510436,10,8,5
275,6236,3070101,10,23,8
276,6237,3070102,10,23,8
277,6238,3070201A,10,23,8
278,6239,3070201B,10,23,8
279,6240,3070202,10,23,8
280,6241,3070301,10,23,8
281,6242,3070302,10,23,8
282,6243,3070401,10,23,8
283,6244,3070402,10,23,8
284,6245,3070403,10,23,5
285,6357,3170001,10,8,4
286,6358,3170002,10,8,4
287,6359,3170003,10,8,4
288,6360,3170004,10,8,4
289,6361,317003A,10,8,4
290,6362,317004A,10,8,4
291,6363,3190101,10,24,31
292,6364,3190210,10,24,31
293,6365,3190302,10,24,8
294,6366,3190405,10,24,31
295,6415,3270001,10,24,8
296,6416,3270002,10,24,8
297,6417,3270003,10,24,8
298,6418,3270004,10,24,8
299,6419,3270005,10,24,8
300,6420,3270006,10,24,8
301,6421,3290101A,10,8,4
302,6422,3290101B,10,8,4
303,6423,3290102,10,8,4
304,6424,3290103,10,8,4
305,6425,3290104,10,8,4
306,6426,3290105,10,8,4
307,6427,3290106,10,8,4
308,6428,3290107,10,8,4
309,6429,3290108,10,8,4
310,6430,3290109,10,8,4
311,6431,3290110,10,8,4
312,6432,3290201,10,8,4
313,6433,3290202,10,8,4
314,6434,3290203,10,8,4
315,6435,3290204,10,8,4
316,6436,3290205,10,8,4
317,6437,3290206,10,8,4
318,6438,3290207,10,8,4
319,6439,3290208,10,8,4
320,6440,3290210,10,8,4
321,6441,3290211,10,8,4
322,6442,3290212,10,8,4
323,6443,3290302,10,8,4
324,6444,3290303,10,8,4
325,6445,3290304,10,8,4
326,6446,3290305,10,8,4
327,6447,3290306,10,8,4
328,6448,3290307,10,8,4
329,6449,3290308,10,8,4
330,6450,3290309,10,8,4
331,6451,3290310,10,8,4
332,6452,3290401,10,8,4
333,6453,3290402,10,8,4
334,6454,3290403,10,8,4
335,6455,3290404,10,8,4
336,6456,3290405,10,8,4
337,6457,3290406,10,8,4
338,6458,3290407,10,8,4
339,6459,3290408,10,8,4
340,6460,3290409,10,8,4
341,6461,3290410,10,8,4
342,6462,3290411,10,8,4
343,6463,329108A,10,8,4
344,6464,329109A,10,8,4
345,6465,329307A,10,8,4
346,6466,329309A,10,8,4
347,6467,329402A,10,8,4
348,6479,3330001,10,23,31
349,6480,3330002,10,23,8
350,6481,3330003,10,23,8
351,6482,3330006,10,23,8
352,6483,3330008,10,23,8
353,6484,3330009,10,23,31
354,6485,3330011,10,23,31
355,6486,3350001,10,23,4
356,6487,3350002,10,8,5
357,6488,3350003,10,8,5
358,6489,3350004,10,23,4
359,6490,3350025,10,8,5
360,6491,3350046,10,23,4
361,5431,2210005,10,12,5
362,2753,1150001,10,8,4
363,2754,1150002,10,8,4
364,2755,1150003,10,8,4
365,2756,1150004,10,8,4
366,2757,1150005,10,8,4
367,2758,1150011,10,8,4
368,2759,1150012,10,8,4
369,2760,1150013,10,8,4
370,2761,1150017,10,8,4
371,6902,3630001,10,23,5
372,6903,3630002,10,23,5
373,6904,3630003,10,23,5
374,6905,3630004,10,23,5
375,6906,3630005,10,23,5
376,6907,3630006,10,10,5
377,6908,3630007,10,23,5
378,6909,3630008,10,10,5
379,6910,3630009,10,23,5
380,6911,3630011,10,23,5
381,6912,3630012,10,12,5
382,6913,3630013,10,23,5
383,6914,3630014,10,23,5
384,6915,3630015,10,23,5
385,6916,3630016,10,23,5
386,6917,3630017,10,23,5
387,6918,3630018,10,10,5
388,6919,3630020,10,23,5
389,6920,3630021,10,12,5
390,6921,3630022,10,23,5
391,6922,3630023,10,23,5
392,6923,3630024,10,23,5
393,6924,3630025,10,23,5
394,6925,3630026,10,12,5
395,6926,3630027,10,23,5
396,6927,3630028,10,23,5
397,6928,3630029,10,23,5
398,6929,3630030,10,23,5
399,3003,1330001,10,23,8
400,3004,1330002,10,23,8
401,3005,1330003,10,10,5
402,3006,1330004,10,10,8
403,3007,1330005,10,23,8
404,3008,1330006,10,23,8
405,3009,1330007,10,23,8
406,3010,1330008,10,23,8
407,3011,1330009,10,10,8
408,3012,1350101,10,8,4
409,3013,1350102,10,8,4
410,3014,1350103,10,8,4
411,3015,1350104,10,8,4
412,3016,1350106,10,8,4
413,3017,1350107,10,8,4
414,3018,1350108,10,8,4
415,3019,1350109,10,8,4
416,3020,1350110,10,8,4
417,3021,1350111,10,8,4
418,3022,1350201,10,8,4
419,3023,1350202,10,8,4
420,3024,1350203,10,8,4
421,3025,1350204,10,8,4
422,3026,1350205,10,8,4
423,3027,1350206,10,8,4
424,3028,1350207,10,8,4
425,3029,1350208,10,8,4
426,3030,1350209,10,8,4
427,3031,1350301,10,8,4
428,3032,1350302,10,8,4
429,3033,1350303,10,8,4
430,3034,1350304,10,8,4
431,3035,1350305,10,8,4
432,3036,1350306,10,8,4
433,3037,1350307,10,8,4
434,3038,1350308,10,8,4
435,3039,1350309,10,8,4
436,3040,1350311,10,8,4
437,3041,1350312,10,8,4
438,3042,1350401,10,8,4
439,3043,1350402,10,8,4
440,3044,1350403,10,8,4
441,3045,1350404,10,8,4
442,3046,1350405,10,8,4
443,3047,1350406,10,8,4
444,3048,1350407,10,8,4
445,3049,1350408,10,8,4
446,3050,1350409,10,8,4
447,3051,1350412,10,8,4
448,7185,3990001,10,23,5
449,7186,3990002,10,23,5
450,7187,3990003,10,23,5
451,7188,3990004A,10,23,5
452,7189,3990004B,10,23,5
453,7190,3990005,10,23,5
454,7191,3990006,10,8,5
455,7192,3990007,10,23,5
456,7193,3990008,10,8,5
457,7194,3990009,10,8,5
458,7195,3990010,10,23,5
459,7274,4110001,10,23,31
460,7275,411002A,10,23,8
461,7276,411002B,10,23,31
462,7277,411003A,10,23,31
463,7278,411003B,10,23,31
464,7279,411004A,10,23,31
465,7280,411004B,10,23,31
466,1211,490101,10,23,8
467,1212,490105,10,23,8
468,1213,490109,10,23,8
469,1214,490113,10,23,8
470,1215,490202,10,23,8
471,1216,490204,10,23,5
472,1217,490212,10,23,8
473,1218,490214,10,23,8
474,1219,490215,10,23,8
475,1220,490303,10,23,5
476,1221,490306,10,23,8
477,1222,490307,10,23,8
