,Index,GEOID,Seed1,Seed2,Seed3
0,0,10001,4,1,11
1,1,10002,4,1,11
2,2,10003,4,1,11
3,3,10004,4,1,11
4,4,10005,4,1,31
5,5,10006,4,1,11
6,6,10007,4,1,11
7,7,10008,4,1,11
8,8,10009,4,1,11
9,9,10010,4,1,11
10,10,10011,4,1,11
11,11,10013,4,1,11
12,12,10015,4,1,11
13,13,10016,4,1,11
14,14,10017,4,1,11
15,15,10018,4,19,31
16,16,10019,4,1,11
17,17,10020,4,1,11
18,18,10021,4,1,11
19,19,10022,4,26,11
20,20,10023,4,1,11
21,21,10024,4,26,11
22,2064,1131139,4,26,12
23,2066,1131141A,4,5,12
24,2068,1131300,4,5,12
25,2069,1131301,4,5,12
26,2070,1131302,4,26,12
27,2071,1131303,4,5,12
28,2072,1131304,4,5,12
29,2073,1131305,4,5,12
30,2074,1131307,4,5,12
31,2075,1131308A,4,5,12
32,2076,1131308B,4,5,12
33,2077,1131309,4,5,12
34,2078,1131310,4,26,12
35,2079,1131311,4,26,12
36,2080,1131312,4,5,12
37,2081,1131313,4,5,12
38,2082,1131314,4,5,12
39,2083,1131315,4,5,12
40,2084,1131316,4,5,12
41,2085,1131317,4,5,12
42,2098,1131707,4,9,12
43,2104,1131712B,4,9,12
44,2047,1131121,4,5,12
45,2111,1131719,4,9,12
46,2112,1131720,4,26,12
47,2120,1131728,4,9,12
48,2122,1131730,4,9,26
49,2050,1131125,4,5,12
50,2123,1131731,4,9,12
51,2051,1131126,4,9,26
52,2053,1131128,4,9,26
53,2058,1131133,4,5,26
54,2467,1133410,4,5,12
55,2061,1131136,4,5,12
56,2062,1131137,4,5,12
57,2185,1132060,4,9,26
58,2186,1132061,4,9,26
59,2187,1132062,4,9,26
60,5116,21304PF,4,19,31
61,2190,1132065,4,9,26
62,2191,1132066,4,9,26
63,2192,1132067,4,9,26
64,2195,1132070,4,9,26
65,2041,1131115,4,5,12
66,2197,1132072,4,9,26
67,2198,1132073,4,9,26
68,5120,2132PSN,4,1,11
69,5121,2132PSS,4,26,11
70,5122,2134NYL,4,19,2
71,2327,1133014,4,5,23
72,2328,1133015,4,5,12
73,8605,467001C,4,26,2
74,8606,467001D,4,26,2
75,8609,467002B,4,26,2
76,8610,467002C,4,26,11
77,8611,467002D,4,26,2
78,8612,467003A,4,26,2
79,2393,1133079,4,5,12
80,2406,1133093,4,5,23
81,2441,1133302,4,26,23
82,2442,1133303,4,26,23
83,2443,1133304,4,26,23
84,2444,1133305,4,26,23
85,2445,1133306,4,26,12
86,2446,1133307,4,26,12
87,2447,1133308,4,26,12
88,2448,1133309,4,5,12
89,2449,1133310,4,26,23
90,2450,1133311,4,26,23
91,2451,1133312,4,26,23
92,2452,1133313,4,26,23
93,2453,1133314,4,5,23
94,2454,1133315,4,26,23
95,2455,1133316,4,26,23
96,2456,1133317,4,5,23
97,2457,1133318,4,26,23
98,2458,1133400,4,5,12
99,8603,467001A,4,26,2
100,8604,467001B,4,26,2
101,2460,1133402,4,5,12
102,2461,1133404,4,5,12
103,8607,467001E,4,26,2
104,8608,467002A,4,26,2
105,2462,1133405,4,5,12
106,2463,1133406,4,26,12
107,2464,1133407,4,5,12
108,2465,1133408,4,5,12
109,8613,467003B,4,26,2
110,8614,467003C,4,26,2
111,8615,467003D,4,26,2
112,8616,467004A,4,26,2
113,8617,467004B,4,26,2
114,8618,467004C,4,26,2
115,2466,1133409,4,5,12
116,8620,467004E,4,26,2
117,2469,1133500,4,26,23
118,8619,467004D,4,26,2
119,2496,1133703,4,26,23
120,2507,1133920,4,5,23
121,2508,1133921,4,5,23
122,2511,1133940B,4,5,23
123,1489,730012,4,1,31
124,1490,730013,4,1,11
125,1491,730014,4,1,31
126,1492,730015,4,1,31
127,1493,730022,4,1,31
128,1494,730023,4,1,31
129,1495,730024,4,1,31
130,1496,730025,4,1,31
131,1497,730026,4,1,31
132,1498,730027,4,1,31
133,1499,730028,4,1,11
134,1500,730032,4,19,31
135,1501,730033,4,19,31
136,1502,730034,4,19,31
137,1503,730035,4,19,31
138,1504,730036,4,1,31
139,1505,730037,4,1,31
140,1506,730038,4,1,31
141,1507,730042,4,1,31
142,1508,730043,4,1,31
143,1509,730044,4,19,31
144,1510,730045,4,1,31
145,1511,730046,4,19,31
146,1512,730047,4,1,31
147,1513,730048,4,19,31
148,5802,2570001,4,26,23
149,5803,2570002,4,1,2
150,5804,2570003,4,26,23
151,5805,2570004,4,26,23
152,5806,2570005,4,26,23
153,5807,2570006,4,26,2
154,5808,2570007,4,26,23
155,5809,2570008,4,26,2
156,5810,2570009,4,26,2
157,5811,2570010,4,1,11
158,5812,2570011,4,26,23
159,5813,2570012,4,1,11
160,5814,2570013,4,26,23
161,5815,2570014,4,26,23
162,5816,2570015,4,1,11
163,5817,2570016,4,26,11
164,5818,2570017,4,5,23
165,5819,2570018,4,5,23
166,5820,2570019,4,26,2
167,5821,2570020,4,26,2
168,5822,2570021,4,26,2
169,5823,2570022,4,26,11
170,5824,2570023,4,26,23
171,5825,2570024,4,26,23
172,5826,2570025,4,26,23
173,5827,2570026,4,26,2
174,5828,2570027,4,26,23
175,5829,2570028,4,5,11
176,5830,2570029,4,26,23
177,5831,2570030,4,5,11
178,9040,49901-1,4,26,2
179,9041,49901-2,4,26,2
180,9042,49901-3,4,26,2
181,9043,49901-4,4,26,2
182,9045,49902-2,4,26,2
183,9046,49902-3,4,26,2
184,9052,49904-3,4,26,2
185,9053,49904-4,4,26,2
186,1926,1131000,4,9,26
187,1927,1131001,4,9,26
188,1928,1131002,4,9,26
189,1935,1131009,4,9,26
190,1937,1131011,4,9,26
191,1960,1131038,4,9,26
192,1961,1131039,4,9,26
193,1966,1131044,4,9,26
194,1967,1131045,4,9,12
195,1968,1131046,4,9,26
196,1969,1131047,4,9,12
197,1970,1131048,4,9,26
198,1971,1131049,4,9,26
199,1973,1131051,4,9,26
200,1974,1131052,4,9,12
201,1975,1131054,4,5,12
202,1976,1131055,4,9,12
203,1977,1131056,4,5,12
204,1978,1131057,4,5,12
205,1979,1131058,4,5,12
206,1980,1131059,4,5,12
207,1981,1131060,4,5,26
208,1982,1131061,4,5,12
209,1990,1131068,4,5,12
210,1998,1131075B,4,33,26
211,2000,1131077,4,5,26
212,2011,1131087B,4,5,12
213,5096,2130002,4,26,11
214,5097,2130003,4,26,11
215,5098,2130004,4,26,11
216,5099,213001A,4,1,11
217,5100,213001M,4,26,11
218,5101,213001T,4,26,11
219,5102,213002E,4,26,11
220,5103,213003B,4,19,2
221,5104,213003C,4,19,2
222,5105,213003M,4,26,2
223,5106,213003N,4,26,11
224,5107,213004A,4,26,11
225,2036,1131110,4,5,12
226,5108,213004W,4,26,11
227,5109,21301CR,4,26,11
228,5111,21301TC,4,1,11
229,5112,21303WS,4,19,31
230,5113,21304BV,4,19,31
231,5114,21304CC,4,19,31
232,5115,21304MS,4,19,31
233,5110,21301MN,4,26,11
234,5117,21304SE,4,26,11
235,5118,2132GBN,4,1,11
236,5119,2132GBS,4,26,11
237,22,30001,10,16,16
238,23,30002,10,16,16
239,24,30003,10,16,16
240,25,30004,10,16,16
241,8225,4510106,10,34,16
242,8226,4510107,10,34,16
243,8227,4510108,10,34,16
244,8228,4510112,10,34,16
245,8229,4510114,10,34,16
246,8230,4510124,10,34,16
247,8231,4510137,10,34,16
248,8232,4510144,10,34,16
249,8233,4510146,10,34,16
250,8234,4510213,10,34,16
251,8235,4510215,10,34,16
252,8236,4510225,10,34,16
253,8237,4510228,10,34,16
254,8238,4510230,10,34,16
255,8239,4510241,10,34,16
256,8240,4510304,10,34,16
257,8241,4510305,10,34,16
258,8242,4510306,10,34,16
259,8243,4510308,10,34,16
260,8244,4510319,10,34,16
261,8245,4510327,10,34,16
262,8246,4510348,10,34,16
263,8247,4510351,10,34,16
264,8248,4510358,10,34,16
265,8249,4510401,10,34,16
266,8250,4510402,10,34,16
267,8251,4510420,10,34,16
268,8252,4510421,10,34,16
269,8253,4510422,10,34,16
270,8254,4510423,10,34,16
271,8255,4510424,10,34,16
272,8256,4510434,10,34,16
273,8257,4510435,10,34,16
274,8258,4510436,10,34,16
275,6236,3070101,10,34,27
276,6237,3070102,10,34,27
277,6238,3070201A,10,34,27
278,6239,3070201B,10,34,27
279,6240,3070202,10,34,27
280,6241,3070301,10,34,27
281,6242,3070302,10,34,27
282,6243,3070401,10,34,27
283,6244,3070402,10,34,27
284,6245,3070403,10,34,27
285,6357,3170001,10,16,16
286,6358,3170002,10,16,16
287,6359,3170003,10,16,16
288,6360,3170004,10,16,16
289,6361,317003A,10,16,16
290,6362,317004A,10,16,16
291,6363,3190101,10,34,27
292,6364,3190210,10,34,27
293,6365,3190302,10,34,27
294,6366,3190405,10,34,27
295,6415,3270001,10,34,27
296,6416,3270002,10,34,24
297,6417,3270003,10,34,27
298,6418,3270004,10,34,27
299,6419,3270005,10,34,27
300,6420,3270006,10,34,27
301,6421,3290101A,10,16,16
302,6422,3290101B,10,16,16
303,6423,3290102,10,16,16
304,6424,3290103,10,16,16
305,6425,3290104,10,16,16
306,6426,3290105,10,16,16
307,6427,3290106,10,16,16
308,6428,3290107,10,16,16
309,6429,3290108,10,16,16
310,6430,3290109,10,16,16
311,6431,3290110,10,16,16
312,6432,3290201,10,16,16
313,6433,3290202,10,16,16
314,6434,3290203,10,16,16
315,6435,3290204,10,16,16
316,6436,3290205,10,16,16
317,6437,3290206,10,16,16
318,6438,3290207,10,16,16
319,6439,3290208,10,16,16
320,6440,3290210,10,16,16
321,6441,3290211,10,16,16
322,6442,3290212,10,16,16
323,6443,3290302,10,16,16
324,6444,3290303,10,16,16
325,6445,3290304,10,16,16
326,6446,3290305,10,16,16
327,6447,3290306,10,16,16
328,6448,3290307,10,16,16
329,6449,3290308,10,16,16
330,6450,3290309,10,16,16
331,6451,3290310,10,16,16
