Election,Black Preferred,Latino-Preferred
14P_Ag Comm,"{'FitzsimonsD_14P_Ag Comm':[0.2389324,0.1098514],'FriedmanD_14P_Ag Comm':[0.2415231,0.06658673],'HoganD_14P_Ag Comm':[0.5094747,0.1189924]}","{'FitzsimonsD_14P_Ag Comm':[0.1630271,0.07401302],'FriedmanD_14P_Ag Comm':[0.4130933,0.09981272],'HoganD_14P_Ag Comm':[0.4074698,0.1036761]}"
14P_Governor,"{'DavisD_14P_Governor':[0.9904072,0.01146868],'MadrigalD_14P_Governor':[0.00957173,0.01139336]}","{'DavisD_14P_Governor':[0.7193117,0.2425713],'MadrigalD_14P_Governor':[0.2922491,0.246431]}"
14P_U.S. Sen,"{'AlameelD_14P_U.S. Sen':[0.3751045,0.1160837],'FjetlandD_14P_U.S. Sen':[0.001408405,0.00215655],'KimD_14P_US_Sen_pct':[0.02545788,0.02353104],'RogersD_14P_U.S. Sen':[0.4833775,0.1964831],'ScherrD_14P_U.S. Sen':[0.04034366,0.03358091]}","{'AlameelD_14P_U.S. Sen':[0.5228766,0.1406213],'FjetlandD_14P_U.S. Sen':[0.03076565,0.03568932],'KimD_14P_US_Sen_pct':[0.09414371,0.06146729],'RogersD_14P_U.S. Sen':[0.1393278,0.06809895],'ScherrD_14P_U.S. Sen':[0.1515861,0.1281311]}"
14R_Ag Comm,"{'FriedmanD_14R_Ag Comm':[0.3191726,0.1185339],'HoganD_14R_Ag Comm':[0.682527,0.1189618]}","{'FriedmanD_14R_Ag Comm':[0.4573191,0.1112292],'HoganD_14R_Ag Comm':[0.5426383,0.1108272]}"
14R_U.S. Sen,"{'AlameelD_14R_U.S. Sen':[0.7350063,0.1501997],'RogersD_14R_U.S. Sen':[0.2650214,0.15022]}","{'AlameelD_14R_U.S. Sen':[0.735608,0.1487703],'RogersD_14R_U.S. Sen':[0.264397,0.1487805]}"
16G_President,"{'ClintonD_16G_President':[0.8534514,0.1383142],'JohnsonL_16G_President':[0.000544699,0.00061255],'SteinG_16G_President':[0.02165691,0.02443792],'TrumpR_16G_President':[0.12242,0.1173429]}","{'ClintonD_16G_President':[0.7017131,0.2106205],'JohnsonL_16G_President':[0.01437085,0.008488406],'SteinG_16G_President':[0.01329048,0.01237206],'TrumpR_16G_President':[0.2497012,0.1921486]}"
16P_President,"{'ClintonD_16P_President':[0.9110951,0.08747346],'De La FuenteD_16P_President':[0.004145734,0.009454671],'HawesD_16P_President':[0.002032229,0.007299981],'JuddD_16P_President':[0.002703056,0.008690667],'LockeD_16P_President':[0.001908796,0.007226454],'O'MalleyD_16P_President':[0.008570841,0.02064691],'SandersD_16P_President':[0.08572786,0.08467918],'WIlsonD_16P_President':[0.002861411,0.008343043]}","{'ClintonD_16P_President':[0.7069594,0.08939136],'De La FuenteD_16P_President':[0.006966618,0.01584098],'HawesD_16P_President':[0.00180216,0.007626914],'JuddD_16P_President':[0.002356692,0.008773455],'LockeD_16P_President':[0.001592104,0.006649834],'O'MalleyD_16P_President':[0.004252971,0.01007553],'SandersD_16P_President':[0.2543271,0.08790607],'WIlsonD_16P_President':[0.002647748,0.008128398]}"
18G_Ag Comm,"{'CarpenterL_18G_Ag Comm':[0.03762536,0.0401474],'MillerR_18G_Ag Comm':[0.1171653,0.1132352],'OlsonD_18G_Ag Comm':[0.8641792,0.1274015]}","{'CarpenterL_18G_Ag Comm':[0.03179308,0.02359202],'MillerR_18G_Ag Comm':[0.2534321,0.1980081],'OlsonD_18G_Ag Comm':[0.7157093,0.2078618]}"
18G_Attorney Gen,"{'HarrisL_18G_Attorney Gen':[0.01250972,0.0127806],'NelsonD_18G_Attorney Gen':[0.8704841,0.1230184],'PaxtonR_18G_Attorney Gen':[0.1134951,0.1100385]}","{'HarrisL_18G_Attorney Gen':[0.030869,0.02644676],'NelsonD_18G_Attorney Gen':[0.7218934,0.199352],'PaxtonR_18G_Attorney Gen':[0.2488369,0.1899194]}"
18G_Comptroller,"{'ChevalierD_18G_Comptroller':[0.841256,0.1437734],'HegarR_18G_Comptroller':[0.1319182,0.1237262],'SandersL_18G_Comptroller':[0.0153468,0.01442602]}","{'ChevalierD_18G_Comptroller':[0.6809953,0.2181065],'HegarR_18G_Comptroller':[0.2687224,0.2081079],'SandersL_18G_Comptroller':[0.07341786,0.03508525]}"
