subgroup,model_type,coef,intercept
Black,district,10.532820063554169,-2.641540649310676
Latino,district,9.25768965497078,-3.0015185963065156
Neither,district,6.936400646605003,-2.681915102063553
Black,equal,10.873575157456553,-2.423709886929029
Latino,equal,10.022528982473563,-2.6749237627745295
Neither,equal,7.48219938655569,-3.9186430551483085
Black,statewide,10.860507949291327,-2.287012020055255
Latino,statewide,9.95289635364824,-2.7292303334749164
Neither,statewide,7.577712025519869,-3.718888528823755
