,Candidates,Race,Notes
0,RomneyR_12G_President,White,
1,ObamaD_12G_President,Black,
2,CruzR_12G_U.S. Sen,Hispanic,
3,SadlerD_12G_U.S. Sen,White,
4,AllenD_12P_U.S. Sen,Black,
5,HubbardD_12P_U.S. Sen,White,
6,SadlerD_12P_U.S. Sen,White,
7,YarbroughD_12P_U.S. Sen,Black,
8,SadlerD_12R_U.S. Sen,White,
9,YarbroughD_12R_U.S. Sen,Black,
10,MillerR_14G_Ag Comm,White,
11,HoganD_14G_Ag Comm,White,
12,PaxtonR_14G_Attorney Gen,White,
13,HoustonD_14G_Attorney Gen,White,
14,HegarR_14G_Comptroller,White,
15,CollierD_14G_Comptroller,White,
16,AbbottR_14G_Governor,White,
17,DavisD_14G_Governor,White,
18,BushR_14G_Land Comm,Hispanic,
19,CookD_14G_Land Comm,White,
20,PatrickR_14G_Lt. Governor,White,
21,Van De PutteD_14G_Lt. Governor,Hispanic,
22,CornynR_14G_U.S. Sen,White,
23,AlameelD_14G_U.S. Sen,White,
24,FitzsimonsD_14P_Ag Comm,White,
25,HoganD_14P_Ag Comm,White,
26,FriedmanD_14P_Ag Comm,White,
27,MadrigalD_14P_Governor,Hispanic,
28,DavisD_14P_Governor,White,
29,AlameelD_14P_U.S. Sen,White,
30,KimD_14P_U.S. Sen,Asian,
31,RogersD_14P_U.S. Sen,Black,
32,ScherrD_14P_U.S. Sen,White,
33,FjetlandD_14P_U.S. Sen,White,
34,FriedmanD_14R_Ag Comm,White,
35,HoganD_14R_Ag Comm,White,
36,AlameelD_14R_U.S. Sen,White,
37,RogersD_14R_U.S. Sen,Black,
38,ClintonD_16G_President,White,
39,TrumpR_16G_President,White,
40,JuddD_16P_President,White,
41,De La FuenteD_16P_President,Hispanic,
42,ClintonD_16P_President,White,
43,LockeD_16P_President,White,
44,O'MalleyD_16P_President,White,
45,SandersD_16P_President,White,
46,WIlsonD_16P_President,Black,
47,HawesD_16P_President,Other,
48,MillerR_18G_Ag Comm,White,
49,OlsonD_18G_Ag Comm,White,
50,PaxtonR_18G_Attorney Gen,White,
51,NelsonD_18G_Attorney Gen,White,
52,HegarR_18G_Comptroller,White,
53,ChevalierD_18G_Comptroller,Black,
54,AbbottR_18G_Governor,White,
55,ValdezD_18G_Governor,Hispanic,
56,BushR_18G_Land Comm,Hispanic,
57,SuazoD_18G_Land Comm,Hispanic,
58,PatrickR_18G_Lt. Governor,White,
59,CollierD_18G_Lt. Governor,White,
60,CruzR_18G_U.S. Sen,Hispanic,
61,O'RourkeD_18G_U.S. Sen,White,
62,MahoneyD_18P_Comptroller,White,
63,ChevalierD_18P_Comptroller,Black,
64,WakelyD_18P_Governor,White,
65,ClarkD_18P_Governor,Other,
66,PayneD_18P_Governor,White,
67,YarbroughD_18P_Governor,Black,
68,DavisD_18P_Governor,Black,
69,OceguedaD_18P_Governor,Hispanic,
70,ValdezD_18P_Governor,Hispanic,
71,WhiteD_18P_Governor,White,
72,MumbachD_18P_Governor,White,
73,SuazoD_18P_Land Comm,Hispanic,
74,MorganD_18P_Land Comm,White,
75,CooperD_18P_Lt. Governor,Black,
76,CollierD_18P_Lt. Governor,White,
77,KimbroughD_18P_U.S. Sen,Black,
78,HernandezD_18P_U.S. Sen,Hispanic,
79,O'RourkeD_18P_U.S. Sen,White,
80,ValdezD_18R_Governor,Hispanic,
81,WhiteD_18R_Governor,White,
82,CraddickR_18G_RR Comm 1,White,
83,McAllenD_18G_RR Comm 1,Hispanic,"*fullname: Roman McAllen, Mexican-American father and English mother"
84,McAllenD_18P_RR Comm 1,Hispanic,"*fullname: Roman McAllen, Mexican-American father and English mother"
85,SpellmonD_18P_RR Comm 1,Black,
86,YarbroughD_16G_RR Comm 1,Black,
87,ChristianR_16G_RR Comm 1,White,
88,GarrettD_16R_RR Comm 1,White,
89,YarbroughD_16R_RR Comm 1,Black,
90,GarrettD_16P_RR Comm 1,White,
91,YarbroughD_16P_RR Comm 1,Black,
92,BurnamD_16P_RR Comm 1,White,
93,SittonR_14G_RR Comm 3,White,
94,BrownD_14G_RR Comm 3,Black,
95,HenryD_14P_RR Comm 3,White,
96,BrownD_14P_RR Comm 3,Black,
97,CraddickR_12G_RR Comm 1,White,
98,HenryD_12G_RR Comm 1,White,
99,HenryD_12P_RR Comm 1,White,
100,ElyD_12P_President,White,
101,WolfeD_12P_President,White,
102,RichardsonD_12P_President,White,
103,ObamaD_12P_President,Black,
