subgroup,model_type,coef,intercept
Black,district,8.791830778460643,-2.995315967076603
Latino,district,7.216235354929725,-3.727818605459402
Neither,district,6.938545666471188,-2.7038034927013084
Black,equal,8.89561802458242,-2.7292257544119893
Latino,equal,7.9330152313064195,-3.320774954337832
Neither,equal,7.475902422091292,-3.9173619965101674
Black,statewide,8.999168254502017,-2.5902236098513614
Latino,statewide,8.047228839205859,-3.449593823801358
Neither,statewide,7.578387684180387,-3.7293506837932657
