,Index,GEOID,Seed1,Seed2,Seed3
188,1928,1131002,14,2,7
189,1935,1131009,25,2,7
190,1937,1131011,14,2,7
191,1960,1131038,14,2,7
192,1961,1131039,14,2,7
193,1966,1131044,14,20,7
194,1967,1131045,14,2,7
195,1968,1131046,14,2,7
196,1969,1131047,14,2,7
197,1970,1131048,14,2,7
198,1971,1131049,14,2,7
199,1973,1131051,14,2,7
200,1974,1131052,14,2,7
201,1975,1131054,11,10,7
202,1976,1131055,14,2,7
203,1977,1131056,11,10,7
204,1978,1131057,11,10,7
205,1979,1131058,14,10,7
206,1980,1131059,14,10,7
207,1981,1131060,14,10,7
208,1982,1131061,14,10,7
209,1990,1131068,11,10,7
210,1998,1131075B,14,2,7
211,2000,1131077,14,10,7
212,2011,1131087B,14,10,2
213,5096,2130002,13,21,12
214,5097,2130003,13,21,12
215,5098,2130004,13,21,10
216,5099,213001A,13,10,12
217,5100,213001M,13,21,26
218,5101,213001T,13,23,26
219,5102,213002E,13,10,12
220,5103,213003B,9,21,10
221,5104,213003C,9,21,10
222,5105,213003M,9,21,10
223,5106,213003N,13,21,12
224,5107,213004A,13,21,26
225,2036,1131110,11,10,2
226,5108,213004W,9,23,10
227,5109,21301CR,13,23,26
228,5111,21301TC,13,23,26
229,5112,21303WS,9,21,10
230,5113,21304BV,9,21,10
231,5114,21304CC,9,21,10
232,5115,21304MS,9,21,10
233,5116,21304PF,9,21,10
234,5117,21304SE,9,21,10
235,5110,21301MN,13,21,12
236,5119,2132GBS,13,10,12
237,22,30001,27,26,23
238,23,30002,27,33,23
239,24,30003,27,33,23
240,25,30004,27,26,23
241,8225,4510106,22,26,23
242,8226,4510107,22,26,22
243,8227,4510108,22,26,23
244,8228,4510112,22,26,22
245,8229,4510114,22,26,22
246,8230,4510124,22,26,22
247,8231,4510137,22,26,22
248,8232,4510144,22,26,23
249,8233,4510146,22,26,22
250,8234,4510213,22,26,22
251,8235,4510215,22,26,22
252,8236,4510225,22,26,22
253,8237,4510228,22,26,22
254,8238,4510230,22,26,22
255,8239,4510241,22,26,22
256,8240,4510304,22,26,22
257,8241,4510305,22,26,22
258,8242,4510306,22,26,23
259,8243,4510308,22,26,22
260,8244,4510319,22,26,22
261,8245,4510327,22,26,22
262,8246,4510348,22,26,23
263,8247,4510351,22,26,22
264,8248,4510358,22,26,22
265,8249,4510401,22,26,22
266,8250,4510402,22,26,22
267,8251,4510420,22,26,22
268,8252,4510421,22,26,22
269,8253,4510422,22,26,22
270,8254,4510423,22,26,22
271,8255,4510424,22,26,22
272,8256,4510434,22,26,22
273,8257,4510435,22,26,22
274,8258,4510436,22,26,22
275,6236,3070101,22,9,22
276,6237,3070102,22,9,22
277,6238,3070201A,22,9,22
278,6239,3070201B,22,9,22
279,6240,3070202,22,9,22
280,6241,3070301,22,9,22
281,6242,3070302,22,9,22
282,6243,3070401,22,9,22
283,6244,3070402,22,9,22
284,6245,3070403,22,9,22
285,6357,3170001,27,26,23
286,6358,3170002,27,26,23
287,6359,3170003,27,33,23
288,6360,3170004,27,26,23
289,6361,317003A,27,33,23
290,6362,317004A,27,26,23
291,6363,3190101,22,9,22
292,6364,3190210,22,9,22
293,6365,3190302,22,9,22
294,6366,3190405,22,9,22
295,6415,3270001,22,9,22
296,6416,3270002,22,9,22
297,6417,3270003,22,26,22
298,6418,3270004,22,9,22
299,6419,3270005,22,9,22
300,6420,3270006,22,9,22
301,6421,3290101A,27,26,22
302,6422,3290101B,27,26,23
303,6423,3290102,27,26,23
304,6424,3290103,27,26,23
305,6425,3290104,27,26,23
306,6426,3290105,27,26,23
307,6427,3290106,27,26,23
308,6428,3290107,27,26,23
309,6429,3290108,27,26,23
310,6430,3290109,27,26,23
311,6431,3290110,27,26,23
312,6432,3290201,22,26,22
313,6433,3290202,22,26,23
314,6434,3290203,27,26,23
315,6435,3290204,27,26,23
316,6436,3290205,27,26,23
317,6437,3290206,27,26,23
318,6438,3290207,27,26,23
319,6439,3290208,27,26,23
320,6440,3290210,27,26,23
321,6441,3290211,27,26,23
322,6442,3290212,27,26,23
323,6443,3290302,27,26,22
324,6444,3290303,27,26,23
325,6445,3290304,27,26,23
326,6446,3290305,27,26,23
327,6447,3290306,27,26,23
328,6448,3290307,27,26,23
329,6449,3290308,27,26,23
330,6450,3290309,27,26,23
331,6451,3290310,27,26,23
332,6452,3290401,27,26,23
333,6453,3290402,27,26,23
334,6454,3290403,27,26,23
335,6455,3290404,27,26,23
336,6456,3290405,27,26,23
337,6457,3290406,27,26,23
338,6458,3290407,27,26,23
339,6459,3290408,27,26,23
340,6460,3290409,27,26,23
341,6461,3290410,27,26,23
342,6462,3290411,27,26,23
343,6463,329108A,27,26,23
344,6464,329109A,27,26,23
345,6465,329307A,27,26,23
346,6466,329309A,27,26,23
347,6467,329402A,27,26,23
348,6479,3330001,22,9,27
349,6480,3330002,22,9,27
350,6481,3330003,22,9,27
351,6482,3330006,22,9,27
352,6483,3330008,22,9,27
353,6484,3330009,22,9,27
354,6485,3330011,22,9,27
355,6486,3350001,27,26,29
356,6487,3350002,27,26,23
357,6488,3350003,22,26,23
358,6489,3350004,22,26,29
359,6490,3350025,27,26,29
360,6491,3350046,22,26,29
361,1333,590007,19,9,29
362,2753,1150001,27,26,23
363,2754,1150002,27,33,23
364,2755,1150003,27,33,23
365,2756,1150004,27,33,23
366,2757,1150005,27,26,23
367,2758,1150011,27,33,23
368,2759,1150012,27,26,23
369,2760,1150013,27,33,23
370,2761,1150017,27,33,23
371,5432,2210007,19,4,21
372,6902,3630001,19,33,29
373,6903,3630002,19,33,29
374,6904,3630003,19,33,29
375,6905,3630004,19,33,21
376,6906,3630005,19,33,29
377,6907,3630006,19,33,29
378,6908,3630007,19,33,29
379,6909,3630008,19,4,21
380,6910,3630009,19,33,29
381,6911,3630011,19,33,21
382,6912,3630012,19,33,29
383,6913,3630013,19,33,29
384,6914,3630014,19,33,21
385,6915,3630015,19,4,29
386,6916,3630016,19,33,29
387,6917,3630017,19,33,29
388,6918,3630018,19,33,29
389,6919,3630020,19,33,29
390,6920,3630021,19,33,21
391,6921,3630022,19,33,21
392,6922,3630023,19,33,29
393,6923,3630024,19,33,29
394,6924,3630025,19,33,29
395,6925,3630026,19,33,29
396,6926,3630027,19,33,29
397,6927,3630028,19,33,29
398,6928,3630029,19,33,29
399,6929,3630030,19,33,29
400,3003,1330001,19,33,29
401,3004,1330002,19,33,29
402,3005,1330003,19,33,29
403,3006,1330004,19,3,29
404,3007,1330005,19,3,29
405,3008,1330006,19,33,29
406,3009,1330007,19,33,27
407,3010,1330008,19,33,29
408,3011,1330009,19,33,29
409,3012,1350101,27,26,23
410,3013,1350102,27,26,23
411,3014,1350103,27,26,23
412,3015,1350104,27,26,23
413,3016,1350106,27,26,23
414,3017,1350107,27,26,23
415,3018,1350108,27,26,23
416,3019,1350109,27,26,23
417,3020,1350110,27,26,23
418,3021,1350111,27,26,23
419,3022,1350201,27,26,23
420,3023,1350202,27,26,23
421,3024,1350203,27,26,23
422,3025,1350204,27,26,23
423,3026,1350205,27,26,23
424,3027,1350206,27,26,23
425,3028,1350207,27,26,23
426,3029,1350208,27,26,23
427,3030,1350209,27,26,23
428,3031,1350301,27,26,23
429,3032,1350302,27,26,23
430,3033,1350303,27,26,23
431,3034,1350304,27,26,23
432,3035,1350305,27,26,23
433,3036,1350306,27,26,23
434,3037,1350307,27,26,23
435,3038,1350308,27,26,23
436,3039,1350309,27,26,23
437,3040,1350311,27,26,23
438,3041,1350312,27,26,23
439,3042,1350401,27,26,23
440,3043,1350402,27,26,23
441,3044,1350403,27,26,23
442,3045,1350404,27,26,23
443,3046,1350405,27,26,23
444,3047,1350406,27,26,23
445,3048,1350407,27,26,23
